sweep_value,ghz_entropy_global_pure,ghz_entropy_global_circuit,ghz_entropy_pure,ghz_entropy_circuit,ghz_fidelity_reference_pure,ghz_fidelity_reference_circuit,ghz_concurrence_ab_pure,ghz_concurrence_ab_circuit,ghz_monogamy_pure,ghz_monogamy_circuit,w_entropy_global_pure,w_entropy_global_circuit,w_entropy_pure,w_entropy_circuit,w_fidelity_reference_pure,w_fidelity_reference_circuit,w_concurrence_ab_pure,w_concurrence_ab_circuit,w_monogamy_pure,w_monogamy_circuit
0.0,1.4415419267167124e-15,1.4415419267167124e-15,1.0,1.0,1.0000000000000009,1.0000000000000009,0.0,0.0,1.0000000000000004,1.0000000000000004,0.0,2.9022430939161657e-15,0.9182958340544896,0.9182958340544899,1.0000000000000004,0.9999999999999998,0.6666666666666666,0.6666666622365244,5.9068554492114345e-09,1.1813713396424674e-08
0.02,0.3317488029516069,0.28927461086677386,1.0,1.0,0.9630648900340804,0.9678000013595273,0.0,0.0,1.0000000000000004,1.0000000000000004,0.3259030725907094,0.386081940722554,0.9218104253246207,0.9240190290212011,0.9636448408780337,0.9546666683526294,0.5304143648891508,0.5074828277212676,0.31910592716964703,0.3793251660517226
0.04,0.5824351122132592,0.509007837334677,1.0,1.0,0.9269262238025002,0.9362000018781929,0.0,0.0,1.0,1.0000000000000004,0.5722042307448686,0.7249567469758457,0.9252433729222709,0.9309643645218633,0.9280608413985196,0.9021111134057513,0.4591670479810415,0.41398592592739825,0.4626075630964004,0.5630024913121618
0.06,0.7994817617324655,0.7003634178339901,1.0,1.0,0.89158400188781,0.9052000022463562,0.0,0.0,1.0000000000000004,1.0,0.785558527033038,0.9555232125501282,0.9285950940151025,0.9356359498797049,0.8932480022597313,0.8609333360835068,0.3994264956841108,0.3463057726771669,0.5693509271285354,0.6716915973214701
0.08,0.9932876419546325,0.8723233079605903,1.0,1.0,0.8570382243476211,0.8748000025321709,0.0,0.0,1.0000000000000009,1.0,0.9761906034250327,1.1655213657395602,0.9318659924740946,0.9406447836095948,0.8592063235307833,0.819844447316208,0.3460540180564388,0.29837780251972557,0.6538733914677567,0.750461812307441
0.1,1.168919873806437,1.029244394555862,1.0,1.0,0.8232888912048876,0.8450000027627517,0.0,0.0,1.0000000000000004,1.0,1.1490799041865696,1.3378076760027564,0.9350564592060431,0.9465421989754939,0.8259358052392181,0.7834000032318154,0.2970444361550973,0.2401398890739272,0.7222704607911963,0.8179774505781028
0.12,1.3294412595582932,1.173747147853939,1.0,1.0,0.7903360024717144,0.8158000029523742,0.0,0.0,1.0,1.0000000000000007,1.3072343424212358,1.5538811090207374,0.9381668724709494,0.9514368258086939,0.7934364473995705,0.7346333367486065,0.25136215502390347,0.1805209789134854,0.7779444353895997,0.8752755584171308
0.14,1.4769303462104808,1.3076002065177628,1.0,0.9999999999999999,0.7581795581554935,0.7872000031097498,0.0,0.0,1.0000000000000009,0.9999999999999996,1.452693757599747,1.70581938083376,0.9411975981850145,0.9564494056194982,0.7617082500207243,0.696211114652761,0.20838778388437018,0.13121720542142445,0.8231058000078062,0.9110866956156967
0.16,1.6129059103064127,1.4320881034274353,1.0,1.0,0.7268195582611857,0.7592000032407086,0.0,0.0,1.0000000000000004,1.0000000000000002,1.5869474421775007,1.8106083412060374,0.9441489902098983,0.9593728871307858,0.7307512131086401,0.6699111147222279,0.16771505292433087,0.10118828207241337,0.859335136394465,0.9287540828303247
0.18,1.7385367133530627,1.5481927831050757,1.0,1.0,0.6962560027923427,0.7318000033494143,0.0,0.0,0.9999999999999998,1.0,1.711140433817493,1.9625991769741062,0.9470213906288891,0.9647349846708189,0.7005653366675907,0.627444448197788,0.12905990642914666,0.04603741489410307,0.8878394974118786,0.9491307293684303
0.2,1.8547575685884141,1.6566939318073262,1.0000000000000002,1.0,0.6664888917516297,0.7050000034389889,0.0,0.0,1.000000000000001,1.0000000000000004,1.8261876505886854,2.0572176669083886,0.9498151300105502,0.9671042827940433,0.6711506207007804,0.6019666703826805,0.09221418184496655,0.02415122247823981,0.9095855178834777,0.9541612473416773
0.22,1.9623389896250656,1.7582291100983705,1.0,0.9999999999999999,0.6375182251411263,0.6788000035118559,0.0,0.0,1.0,0.9999999999999996,1.9328423699400963,2.1721189105424688,0.9525305276604157,0.969629177504113,0.642507065210714,0.5667000037701382,0.05701972672716121,0.0,0.9253751910432158,0.9581933822222051
0.24,2.0619316281961164,1.853332066719705,1.0000000000000002,0.9999999999999999,0.6093440029625037,0.653200003569961,0.0,0.0,1.0000000000000009,0.9999999999999996,2.031739912048126,2.268810098154147,0.9551678918612525,0.9743889301159057,0.6146346701994038,0.535977781587283,0.023352896203342022,0.0,0.9358921012982071,0.9647061155555399
0.26,2.154096027563874,1.9424583512113662,1.0000000000000002,1.0,0.581966225217141,0.628200003614897,0.0,0.0,1.0000000000000009,1.0000000000000004,2.1234268814028168,2.347560336789967,0.957727520102367,0.9749706847090812,0.5875334356685068,0.5068444483011723,0.0,0.0,0.941810150870436,0.9655031288888738
0.28,2.2393233377406103,2.0260031129122265,1.0,1.0,0.5553848919061962,0.603800003648001,0.0,0.0,1.0,1.0000000000000002,2.2083815198111165,2.419554589933289,0.9602096992984309,0.9785197363576837,0.5612033616194221,0.48177778157225815,0.0,0.0,0.945347950617283,0.9703701155555418
0.3,2.3180502132292182,2.104313872870031,1.0,0.9999999999999999,0.5296000030306657,0.5800000036704113,0.0,0.0,1.0000000000000002,0.9999999999999996,2.287028338297978,2.4961268834580874,0.9626147059982517,0.9805584398499977,0.5356444480533462,0.45430000371886725,0.0,0.0,0.948622222222222,0.9731695599999879
0.32,2.390669824983129,2.177699939117648,1.0000000000000002,1.0,0.5046115585914163,0.5568000036831133,0.0,0.0,1.000000000000001,1.0,2.359748927568561,2.5466801118823255,0.9649428065838916,0.9835041068037682,0.510856694971321,0.4318111148878407,0.0,0.0,0.9517953580246925,0.9772191288888772
