sweep_value,ghz_entropy_global_pure,ghz_entropy_global_circuit,ghz_entropy_pure,ghz_entropy_circuit,ghz_fidelity_reference_pure,ghz_fidelity_reference_circuit,ghz_concurrence_ab_pure,ghz_concurrence_ab_circuit,ghz_monogamy_pure,ghz_monogamy_circuit,w_entropy_global_pure,w_entropy_global_circuit,w_entropy_pure,w_entropy_circuit,w_fidelity_reference_pure,w_fidelity_reference_circuit,w_concurrence_ab_pure,w_concurrence_ab_circuit,w_monogamy_pure,w_monogamy_circuit
0.0,1.4415419267167124e-15,1.4415419267167124e-15,1.0,1.0,1.0000000000000009,1.0000000000000009,0.0,0.0,1.0000000000000004,1.0000000000000004,0.0,2.9022430939161657e-15,0.9182958340544896,0.9182958340544899,1.0000000000000004,0.9999999999999998,0.6666666666666666,0.6666666622365244,5.9068554492114345e-09,1.1813713396424674e-08
0.02,0.3317488029516069,0.28927461086677386,1.0,1.0,0.9630648900340804,0.9678000013595273,0.0,0.0,1.0000000000000004,1.0000000000000004,0.3259030725907094,0.40438818652618946,0.9218104253246207,0.9251373249488242,0.9636448408780337,0.9523666683591067,0.5304143648891508,0.4997901670292436,0.31910592716964703,0.39522525847230444
0.04,0.5824351122132592,0.509007837334677,1.0,1.0,0.9269262238025002,0.9362000018781929,0.0,0.0,1.0,1.0000000000000004,0.5722042307448686,0.7001954584227423,0.9252433729222709,0.9309033565542277,0.9280608413985196,0.906277780070095,0.4591670479810415,0.4153758706965041,0.4626075630964004,0.5578516791319204
0.06,0.7994817617324655,0.7003634178339901,1.0,1.0,0.89158400188781,0.9052000022463562,0.0,0.0,1.0000000000000004,1.0,0.785558527033038,0.9554561871401628,0.9285950940151025,0.9364562967580048,0.8932480022597313,0.8607555582185902,0.3994264956841108,0.35370966662648606,0.5693509271285354,0.6714401861062647
0.08,0.9932876419546325,0.8723233079605903,1.0,1.0,0.8570382243476211,0.8748000025321709,0.0,0.0,1.0000000000000009,1.0,0.9761906034250327,1.1399468003241329,0.9318659924740946,0.9418221006368888,0.8592063235307833,0.82445555847316,0.3460540180564388,0.29551584932964636,0.6538733914677567,0.7549249857005054
0.1,1.168919873806437,1.029244394555862,1.0,1.0,0.8232888912048876,0.8450000027627517,0.0,0.0,1.0000000000000004,1.0,1.1490799041865696,1.3455410608848806,0.9350564592060431,0.9460071347750855,0.8259358052392181,0.7820111142815643,0.2970444361550973,0.23832755433840147,0.7222704607911963,0.8193710984954046
0.12,1.3294412595582932,1.173747147853939,1.0,1.0,0.7903360024717144,0.8158000029523742,0.0,0.0,1.0,1.0000000000000007,1.3072343424212358,1.548777873664893,0.9381668724709494,0.9519432128550213,0.7934364473995705,0.7358555589754721,0.25136215502390347,0.18326452661081083,0.7779444353895997,0.8748301509984234
0.14,1.4769303462104808,1.3076002065177628,1.0,0.9999999999999999,0.7581795581554935,0.7872000031097498,0.0,0.0,1.0000000000000009,0.9999999999999996,1.452693757599747,1.6958717894122588,0.9411975981850145,0.955556784634891,0.7617082500207243,0.6990333368943584,0.20838778388437018,0.13760097794573123,0.8231058000078062,0.9077747400787004
0.16,1.6129059103064127,1.4320881034274353,1.0,1.0,0.7268195582611857,0.7592000032407086,0.0,0.0,1.0000000000000004,1.0000000000000002,1.5869474421775007,1.8329885637678618,0.9441489902098983,0.960064477613557,0.7307512131086401,0.6636777814353106,0.16771505292433087,0.09258030390181793,0.859335136394465,0.9323997421864131
0.18,1.7385367133530627,1.5481927831050757,1.0,1.0,0.6962560027923427,0.7318000033494143,0.0,0.0,0.9999999999999998,1.0,1.711140433817493,1.9691913429729089,0.9470213906288891,0.9649928761727734,0.7005653366675907,0.6267111148827766,0.12905990642914666,0.04143833817313575,0.8878394974118786,0.9498438460713529
